Dataset,Column,Mean,Median
EM H01,OverallWidth,405.44364652858036,354.82
EM H01,OverallHeight,382.90891508578545,357.892
EM H01,OverallDepth,114.0142695350698,114.774
EM H01,Length,6024.6216390968075,4145.33
Allen,OverallWidth,701.122861952862,551.18
Allen,OverallHeight,1008.2280808080808,930.65
Allen,OverallDepth,238.89286195286198,189.57
Allen,Length,14202.465892255892,12202.9
DeKock,OverallWidth,908.393438202247,726.31
DeKock,OverallHeight,1125.2037303370785,1080.03
DeKock,OverallDepth,393.905179775281,387.697
DeKock,Length,19489.412921348314,17483.9
